RunningID,X,Y,Flux1,dFlux1,Flux2,dFlux2,Flux3,dFlux3,Ra,Dec,Class,Mag1,dMag1,Mag2,dMag2,Mag3,dMag3,StarID,FieldID,ID,YJ_Color,JH_Color
84.0,5513.48291015625,8.515031814575195,23969.37890625,186.05438232421875,34289.55078125,275.42831420898443,40349.48046875,396.0313415527344,4.7046942710876465,-0.5288366675376892,-1.0,14.386664390563965,0.008427698165178299,14.33790397644043,0.008721127174794674,14.32933235168457,0.010656570084393023,22,1,6,-0.052190780639699993,1.6105031967200003
97.0,6167.4404296875,8.849658966064453,14105.822265625,178.5847625732422,21631.4921875,270.03799438476557,27254.453125,392.45648193359375,4.705782413482666,-0.5293731093406677,1.0,14.96231174468994,0.013745857402682304,14.838092803955078,0.013553897850215437,14.755332946777346,0.01563435047864914,23,1,6,-0.0290641784668,1.56862831116
102.0,6446.80322265625,9.665507316589355,16204.0263671875,179.62339782714844,23326.62109375,270.63406372070307,27779.0859375,392.5802917480469,4.706248283386231,-0.5296011567115784,-1.0,14.811749458312988,0.012035545893013477,14.756178855895994,0.012596690095961094,14.734631538391113,0.0153439212590456,24,1,6,0.0716361999512,1.645154953
98.0,3779.03662109375,11.27150058746338,7827.20703125,178.76837158203125,10678.84765625,269.123779296875,12740.5029296875,393.3152770996094,4.7018141746521,-0.5274062156677246,-1.0,15.60179042816162,0.024797601625323296,15.604496955871582,0.027362357825040817,15.580960273742676,0.03351815044879913,25,1,6,-0.0865097045898,1.58069038391
124.0,6438.0234375,12.331608772277832,3543.9375,173.25950622558594,5222.72900390625,264.14215087890625,6246.42578125,387.0776672363281,4.706235885620117,-0.5295900702476501,-1.0,16.462091445922848,0.0530807264149189,16.38106346130371,0.05491184815764427,16.354846954345707,0.06728098541498184,26,1,6,-0.339738845825,1.48633384705
113.0,5095.306640625,8.578596115112305,33331.296875,190.5917816162109,48201.61328125,280.247802734375,56218.171875,399.9749450683594,4.703998565673828,-0.5284929871559143,-1.0,14.02867603302002,0.0062083727680146686,13.968153953552244,0.006312573794275522,13.969234466552734,0.0077247051522135735,27,1,6,0.0414886474609,1.45836925507
101.0,4968.22216796875,9.940389633178713,12914.044921875,180.2115020751953,18319.216796875,269.4464111328125,21903.546875,391.204833984375,4.703788757324219,-0.5283865928649902,-1.0,15.058151245117188,0.015151165425777437,15.01854133605957,0.015969499945640564,14.992640495300293,0.01939168758690357,28,1,6,-0.0444831848145,1.5302009582499998
152.0,4996.80419921875,11.964132308959961,5867.01611328125,176.67372131347656,7990.02783203125,265.7352294921875,9425.6455078125,388.0096435546875,4.703837871551514,-0.5284071564674377,-1.0,15.914765357971193,0.03269493579864502,15.919437408447266,0.03610993176698685,15.908148765563965,0.044694826006889336,29,1,6,0.00334167480469,1.60275840759
91.0,4187.31640625,11.142141342163086,7341.2978515625,178.44432067871094,10294.2880859375,266.74612426757807,12133.0224609375,388.6548156738281,4.7024922370910645,-0.5277425050735474,-1.0,15.67137622833252,0.026390990242362026,15.644317626953125,0.028133751824498177,15.634004592895508,0.03477930277585983,30,1,6,0.0178108215332,1.64436340332
121.0,4815.3740234375,11.14069938659668,10693.1572265625,180.2393798828125,15245.0478515625,268.55926513671875,18194.84375,390.1847229003906,4.703535556793213,-0.5282591581344604,-1.0,15.263042449951172,0.01830077916383744,15.21798610687256,0.01912657357752323,15.194056510925293,0.0232834741473198,31,1,6,-0.161388397217,1.49392127991
111.0,5849.708984375,10.901357650756836,16362.03125,182.48458862304688,22634.76171875,271.33804321289057,26769.943359375,392.5399475097656,4.705255508422852,-0.5291093587875366,-1.0,14.801214218139648,0.012109181843698023,14.788867950439453,0.01301549281924963,14.774807929992676,0.015920702368021008,32,1,6,-0.15039825439500001,1.51638412476
110.0,5854.34423828125,5.333874702453613,18075.16796875,182.95550537109366,25546.310546875,272.2611694335937,30157.884765625,393.4047546386719,4.705257892608644,-0.5291211605072021,-1.0,14.693100929260256,0.010989779606461523,14.657487869262695,0.01157133188098669,14.645424842834473,0.014163303188979626,33,1,6,-0.621313095093,0.929250717163
137.0,6715.5478515625,12.69622802734375,13115.826171875,178.09742736816406,18287.076171875,268.85415649414057,21370.361328125,390.96856689453125,4.706698417663574,-0.5298171639442444,-1.0,15.0413179397583,0.014743066392838957,15.02044677734375,0.015962403267621994,15.019396781921387,0.019863501191139214,34,1,6,0.0536117553711,1.55590820313
